Imiê	Nazwisko	P³eæ	Gimnazjum	Egz. hum.	Egz. Mat.	Egz. jêz.	Przyjêty do klasy	Pierwszy jêzyk
Dorotaa	Nowak	K	VIII	7	28	12	1B	niemiecki
£ukasz	Kowalski	M	V	29	31	32	1F	angielski
Artur	Wiœniewski	M	VI	44	42	21	1E	rosyjski
Krzysztof	Dšbrowski	M	VIII	14	41	17	1A	niemiecki
Sebastian	Lewandowski	M	VIII	3	27	15	1A	francuski
Paulina	Wójcik	K	IX	14	24	45	1D	francuski
Mateusz	Kamiñski	M	V	50	7	26	1B	angielski
Marcin	Kowalczyk	M	X	18	29	1	1B	rosyjski
Adrian	Zieliñski	M	VI	15	39	21	1A	niemiecki
Jaros³aw	Szymañski	M	II	16	6	22	1A	niemiecki
Sebastian	WoŸniak	M	IV	47	12	23	1A	angielski
Adam	Koz³owski	M	II	15	34	24	1C	angielski
Micha³	Jankowski	M	X	45	14	19	1D	niemiecki
Krzysztof	Wojciechowski	M	VIII	11	27	24	1F	angielski
Adam	Kwiatkowski	M	I	30	50	23	1B	francuski
Magdalena	Kaczmarek	K	I	2	39	32	1C	niemiecki
Karolina	Mazur	K	V	16	27	25	1B	rosyjski
Anna	Krawczyk	K	VII	12	32	30	1B	francuski
Kamil	Piotrowski	M	VIII	19	26	12	1B	francuski
Jakub	Grabowski	M	II	23	16	4	1E	francuski
Pawe³	Nowakowski	M	III	19	3	34	1E	angielski
Damian	Paw³owski	M	VI	10	48	48	1A	niemiecki
Maciej	Michalski	M	VII	12	50	50	1D	niemiecki
Bartosz	Nowicki	M	VI	27	49	25	1E	niemiecki
¯aneta	Adamczyk	K	X	2	14	28	1B	niemiecki
Beata	Dudek	K	II	43	40	42	1E	rosyjski
Milena	Zajšc	K	III	6	10	2	1F	rosyjski
Magdalena	Wieczorek	K	IX	2	27	14	1F	angielski
Tomasz	Jab³oñski	M	VII	16	14	1	1F	angielski
Justyna	Król	K	III	38	16	21	1A	francuski
Miros³aw	Majewski	M	VIII	15	33	46	1B	francuski
Bartosz	Olszewski	M	VI	17	33	49	1B	niemiecki
Adam	Jaworski	M	VIII	31	9	2	1A	angielski
Justyna	Wróbel	K	X	24	38	16	1D	rosyjski
Kamil	Malinowski	M	I	45	2	16	1E	angielski
Kasia	Pawlak	K	X	44	45	21	1C	niemiecki
Wojciech	Witkowski	M	IX	23	25	47	1E	niemiecki
Monika	Walczak	K	V	10	12	31	1E	niemiecki
Anita	Stêpieñ	K	V	4	21	50	1E	francuski
Mariusz	Górski	M	II	8	48	20	1F	niemiecki
Marcin	Rutkowski	M	V	46	10	18	1D	angielski
Marzena	Michalak	K	VI	41	19	36	1E	angielski
Karolina	Sikora	K	IX	19	36	48	1F	rosyjski
Grzegorz	Ostrowski	M	VII	11	16	24	1F	niemiecki
Paulina	Baran	K	X	2	20	46	1C	rosyjski
Kamila	Duda	K	I	34	39	17	1B	niemiecki
Malwina	Szewczyk	K	II	35	33	40	1B	francuski
Tomasz	Tomaszewski	M	II	38	24	48	1D	francuski
Karolina	Pietrzak	K	II	40	24	3	1D	angielski
Monika	Marciniak	K	I	30	11	36	1D	francuski
Piotr	Wróblewski	M	II	1	43	35	1A	rosyjski
Marcin	Zalewski	M	II	48	11	42	1C	niemiecki
Adrian	Jakubowski	M	X	38	48	7	1C	francuski
Rafa³	Jasiñski	M	VI	9	19	6	1E	francuski
£ukasz	Zawadzki	M	I	48	35	19	1C	niemiecki
Piotr	Sadowski	M	IX	49	10	48	1E	francuski
Mateusz	Bšk	M	X	4	31	33	1F	francuski
Szymon	Chmielewski	M	II	25	24	5	1C	francuski
Agata	W³odarczyk	K	VII	19	29	49	1A	angielski
Karol	Borkowski	M	IX	10	6	38	1E	francuski
Pawe³	Czarnecki	M	IV	14	45	14	1F	francuski
Grzegorz	Sawicki	M	II	27	16	49	1F	rosyjski
Jakub	Soko³owski	M	VII	42	23	11	1F	angielski
Marcin	Urbañski	M	VIII	39	40	47	1F	angielski
Kasia	Kubiak	K	IV	13	6	25	1B	francuski
Sebastian	Maciejewski	M	VIII	26	8	22	1B	angielski
Bartosz	Szczepañski	M	VII	25	36	9	1D	rosyjski
Krzysztof	Kucharski	M	VIII	17	16	16	1D	niemiecki
Kasia	Wilk	K	III	16	13	35	1A	francuski
Piotr	Kalinowski	M	III	37	50	15	1D	angielski
Pawe³	Lis	M	III	27	0	14	1D	rosyjski
Piotr	Mazurek	M	VIII	1	13	31	1A	angielski
Wojciech	Wysocki	M	IX	39	29	7	1F	angielski
Bartosz	Adamski	M	V	24	16	46	1A	francuski
Karolina	KaŸmierczak	K	VIII	3	7	1	1E	niemiecki
Adrian	Wasilewski	M	VIII	24	42	32	1B	rosyjski
Justyna	Sobczak	K	II	5	50	47	1C	angielski
Rafa³	Czerwiñski	M	VI	8	5	42	1B	rosyjski
Mateusz	Andrzejewski	M	VIII	11	6	6	1A	rosyjski
Dominika	Cieœlak	K	IV	37	14	24	1B	rosyjski
Mariusz	G³owacki	M	V	8	13	29	1C	niemiecki
Adam	Zakrzewski	M	II	14	18	1	1E	angielski
Marlena	Ko³odziej	K	V	30	50	14	1B	angielski
Pawe³	Sikorski	M	II	38	50	44	1F	angielski
Micha³	Krajewski	M	II	27	34	3	1B	francuski
£ukasz	Gajewski	M	IV	39	2	21	1A	niemiecki
Monika	Szymczak	K	III	16	39	20	1B	niemiecki
Mateusz	Szulc	M	X	50	17	37	1D	francuski
Bartosz	Baranowski	M	IV	19	15	16	1F	niemiecki
Tomasz	Laskowski	M	II	22	45	17	1C	niemiecki
Marek	Brzeziñski	M	IX	23	2	50	1D	francuski
Kamil	Makowski	M	VIII	33	43	5	1C	angielski
Sylwester	Zió³kowski	M	IX	12	13	17	1B	niemiecki
Miros³aw	Przybylski	M	VII	50	46	49	1B	rosyjski
£ukasz	Domañski	M	I	9	0	12	1D	angielski
Jakub	Nowacki	M	III	38	17	17	1B	angielski
Rafa³	Borowski	M	IV	29	5	3	1D	niemiecki
Marta	B³aszczyk	K	VII	44	25	30	1D	rosyjski
Damian	Chojnacki	M	X	35	3	39	1B	niemiecki
Maciej	Ciesielski	M	X	13	16	8	1B	rosyjski
Kasia	Mróz	K	I	43	41	0	1E	angielski
Krzysztofa	Szczepaniak	K	II	6	37	30	1C	rosyjski
Adrian	Weso³owski	M	I	2	4	33	1A	rosyjski
Mariusz	Górecki	M	IV	43	23	26	1C	angielski
Agnieszka	Krupa	K	VI	3	27	39	1D	francuski
Kasia	Kaczmarczyk	K	I	50	16	9	1A	angielski
Szymon	Leszczyñski	M	III	14	49	19	1C	rosyjski
Piotr	Lipiñski	M	VIII	44	33	25	1E	rosyjski
Tomasz	Kowalewski	M	III	8	30	24	1A	angielski
Natalia	Urbaniak	K	VI	4	12	17	1F	rosyjski
Sylwia	Kozak	K	II	42	8	24	1E	rosyjski
Joanna	Kania	K	I	30	1	5	1A	angielski
Micha³	Miko³ajczyk	M	III	25	41	30	1C	rosyjski
Tomasz	Czajkowski	M	III	0	7	49	1A	angielski
Edyta	Mucha	K	VI	43	1	45	1F	niemiecki
Ewa	Tomczak	K	VIII	50	39	22	1C	francuski
Krzysztofa	Kozio³	K	VI	40	49	12	1F	francuski
Wiktor	Markowski	M	I	34	32	29	1B	niemiecki
Kasia	Kowalik	K	II	28	21	3	1A	rosyjski
Rafa³	Nawrocki	M	IV	37	37	22	1B	rosyjski
Wiktor	Brzozowski	M	III	9	13	32	1E	francuski
Magdalena	Janik	K	V	16	12	3	1A	niemiecki
Karolina	Musia³	K	VI	20	49	46	1F	francuski
Tomasz	Wawrzyniak	M	IV	5	38	40	1C	angielski
Anna	Markiewicz	K	VII	3	43	45	1E	rosyjski
Sebastian	Or³owski	M	II	33	19	12	1D	angielski
EMilia	Tomczyk	K	X	29	23	11	1A	rosyjski
Kasia	Jarosz	K	I	31	6	5	1C	francuski
Kaja	Ko³odziejczyk	K	I	6	41	13	1F	angielski
Kasia	Kurek	K	IV	36	6	1	1A	niemiecki
Magdalena	Kopeæ	K	VIII	8	47	23	1B	niemiecki
Beata	¯ak	K	VI	7	19	37	1A	angielski
Adrian	Wolski	M	V	11	1	20	1F	rosyjski
Monika	£uczak	K	I	33	35	34	1E	francuski
Paulina	Dziedzic	K	VII	23	13	30	1D	angielski
Joanna	Kot	K	V	6	17	18	1C	francuski
Marta	Stasiak	K	II	8	17	39	1E	angielski
Mateusz	Stankiewicz	M	X	38	36	44	1C	francuski
Justyna	Pištek	K	IX	28	5	2	1E	rosyjski
Agnieszka	JóŸwiak	K	I	10	35	23	1B	niemiecki
Marta	Urban	K	VIII	43	13	7	1D	niemiecki
Marcin	Dobrowolski	M	II	4	14	29	1B	francuski
Agnieszka	Pawlik	K	VIII	44	8	47	1C	angielski
